Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Augsburg,23,26.1,45.9,15,165,1350,15.0,17,11,28,16,1,1,45,1,16.7,15.9,12.3,28.2,203,522,1.13,0.73,1.87,1.07,1.8,1.11,0.82,1.93,1.06,1.88
Bayern Munich,25,28.3,67.5,15,165,1350,15.0,54,41,95,48,6,6,33,0,43.6,39.3,31.3,70.6,364,919,3.6,2.73,6.33,3.2,5.93,2.91,2.08,4.99,2.62,4.7
Dortmund,23,27.1,52.5,15,165,1350,15.0,26,21,47,25,1,2,25,2,23.0,21.5,18.1,39.5,257,720,1.73,1.4,3.13,1.67,3.07,1.54,1.2,2.74,1.43,2.63
Eint Frankfurt,24,25.7,55.0,15,165,1350,15.0,30,23,53,28,2,2,23,0,22.2,20.7,16.7,37.4,249,649,2.0,1.53,3.53,1.87,3.4,1.48,1.12,2.6,1.38,2.49
Freiburg,23,27.6,51.1,15,165,1350,15.0,23,12,35,19,4,4,22,2,23.8,20.6,15.8,36.4,214,499,1.53,0.8,2.33,1.27,2.07,1.58,1.05,2.64,1.37,2.43
Gladbach,25,26.5,46.3,15,165,1350,15.0,16,13,29,14,2,4,20,1,19.4,16.2,13.1,29.3,218,536,1.07,0.87,1.93,0.93,1.8,1.29,0.87,2.17,1.08,1.95
Hamburger SV,26,26.4,46.7,15,165,1350,15.0,16,12,28,16,0,2,34,5,18.1,16.5,13.2,29.7,238,477,1.07,0.8,1.87,1.07,1.87,1.21,0.88,2.09,1.1,1.98
Heidenheim,25,27.3,42.0,15,165,1350,15.0,13,11,24,13,0,0,24,1,18.8,18.8,16.0,34.8,186,464,0.87,0.73,1.6,0.87,1.6,1.25,1.07,2.32,1.25,2.32
Hoffenheim,23,27.0,53.5,15,165,1350,15.0,27,22,49,25,2,2,29,0,22.5,20.9,17.7,38.6,210,597,1.8,1.47,3.27,1.67,3.13,1.5,1.18,2.68,1.39,2.58
Köln,22,25.9,48.3,15,165,1350,15.0,22,15,37,21,1,1,26,1,20.7,19.9,15.1,35.0,209,481,1.47,1.0,2.47,1.4,2.4,1.38,1.01,2.39,1.33,2.34
Leverkusen,26,26.7,59.2,15,165,1350,15.0,33,22,55,30,3,3,36,2,27.0,24.7,17.1,41.8,283,596,2.2,1.47,3.67,2.0,3.47,1.8,1.14,2.94,1.65,2.78
Mainz 05,26,28.5,46.2,15,165,1350,15.0,13,7,20,10,3,3,36,5,17.1,14.8,11.6,26.4,187,555,0.87,0.47,1.33,0.67,1.13,1.14,0.77,1.91,0.99,1.76
RB Leipzig,26,25.8,50.1,15,165,1350,15.0,29,22,51,28,1,2,24,0,27.9,26.4,19.2,45.6,316,561,1.93,1.47,3.4,1.87,3.33,1.86,1.28,3.14,1.76,3.04
St. Pauli,20,27.6,47.5,15,165,1350,15.0,13,9,22,12,1,2,26,1,12.2,10.6,8.4,19.0,184,558,0.87,0.6,1.47,0.8,1.4,0.81,0.56,1.37,0.71,1.26
Stuttgart,24,25.6,57.7,15,165,1350,15.0,25,21,46,23,2,3,29,1,21.8,19.4,16.2,35.6,275,655,1.67,1.4,3.07,1.53,2.93,1.45,1.08,2.53,1.3,2.37
Union Berlin,21,27.7,36.9,15,165,1350,15.0,20,12,32,20,0,2,37,1,17.4,15.8,11.3,27.1,144,386,1.33,0.8,2.13,1.33,2.13,1.16,0.75,1.91,1.05,1.81
Werder Bremen,23,25.4,48.1,15,165,1350,15.0,18,13,31,16,2,3,43,3,17.6,15.3,12.9,28.2,228,558,1.2,0.87,2.07,1.07,1.93,1.18,0.86,2.03,1.02,1.88
Wolfsburg,26,25.9,45.6,15,165,1350,15.0,23,19,42,22,1,1,29,1,20.5,19.7,15.8,35.5,178,429,1.53,1.27,2.8,1.47,2.73,1.36,1.06,2.42,1.31,2.37
