Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bayern Munich,15,13,2,0,55,11,44,41,2.73,43.6,10.5,33.1,2.21,W W W D W,75000,Harry Kane - 19,Manuel Neuer,
2,Dortmund,15,9,5,1,26,12,14,32,2.13,23.0,14.6,8.4,0.56,D W W D W,81365,Serhou Guirassy - 5,Gregor Kobel,
3,Leverkusen,15,9,2,4,33,20,13,29,1.93,27.0,17.8,9.3,0.62,W L L W W,29988,Patrik Schick - 6,Mark Flekken,
4,RB Leipzig,15,9,2,4,30,19,11,29,1.93,27.9,20.7,7.2,0.48,W D W L L,46725,"Christoph Baumgartner, Yan Diomandé - 6",Péter Gulácsi,
5,Hoffenheim,15,8,3,4,29,20,9,27,1.8,22.5,22.6,-0.1,-0.01,D W L W D,27358,Fisnik Asllani - 6,Oliver Baumann,
6,Stuttgart,15,8,2,5,25,22,3,26,1.73,21.8,20.3,1.5,0.1,D L L W D,59500,Deniz Undav - 8,Alexander Nübel,
7,Eint Frankfurt,15,7,4,4,30,30,0,25,1.67,22.2,19.4,2.8,0.19,W D L W D,59043,Jonathan Burkardt - 8,Michael Zetterer,
8,Union Berlin,15,6,3,6,20,23,-3,21,1.4,17.4,20.0,-2.6,-0.17,W L L W W,21977,Ilyas Ansah - 5,Frederik Rønnow,
9,Freiburg,15,5,5,5,25,26,-1,20,1.33,23.8,19.7,4.0,0.27,L W L D W,34186,Vincenzo Grifo - 5,Noah Atubolu,
10,Werder Bremen,15,4,5,6,18,28,-10,17,1.13,17.6,26.1,-8.4,-0.56,L D L L D,41600,Jens Stage - 5,Mio Backhaus,
11,Köln,15,4,4,7,22,24,-2,16,1.07,20.7,23.7,-3.0,-0.2,L D D L L,50000,Said El Mala - 6,Marvin Schwäbe,
12,Gladbach,15,4,4,7,18,24,-6,16,1.07,19.4,21.8,-2.5,-0.16,W D W L L,51340,Haris Tabakovic - 7,Moritz Nicolas,
13,Hamburger SV,15,4,4,7,16,25,-9,16,1.07,18.1,22.2,-4.1,-0.27,L W W L D,56888,"Albert Sambi Lokonga, Rayan Philippe - 4",Daniel Heuer Fernandes,
14,Wolfsburg,15,4,3,8,23,28,-5,15,1.0,20.5,25.1,-4.7,-0.31,L D W W L,23674,Mohamed Amoura - 6,Kamil Grabara,
15,Augsburg,15,4,2,9,17,28,-11,14,0.93,16.7,26.0,-9.3,-0.62,W L W L D,29743,Fabian Rieder - 3,Finn Dahmen,
16,St. Pauli,15,3,3,9,13,26,-13,12,0.8,12.2,23.7,-11.5,-0.77,L L D W D,29503,Andreas Hountondji - 4,Nikola Vasilj,
17,Heidenheim,15,3,2,10,13,34,-21,11,0.73,18.8,28.3,-9.5,-0.63,L W W L L,14750,Stefan Schimmer - 4,Diant Ramaj,
18,Mainz 05,15,1,5,9,13,26,-13,8,0.53,17.1,27.7,-10.6,-0.71,D L L D D,31840,Nadiem Amiri - 3,Robin Zentner,
