Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alavés,24,27.9,49.6,17,187,1530,17.0,13,6,19,9,4,4,41,1,18.0,15.0,11.7,26.7,221,540,0.76,0.35,1.12,0.53,0.88,1.06,0.69,1.75,0.88,1.57
Athletic Club,25,27.9,49.2,18,198,1620,18.0,15,7,22,12,3,4,37,4,24.2,21.1,15.8,36.9,313,770,0.83,0.39,1.22,0.67,1.06,1.35,0.88,2.22,1.17,2.05
Atlético Madrid,23,28.1,53.4,18,198,1620,18.0,30,19,49,28,2,3,33,2,29.1,27.0,22.6,49.6,352,785,1.67,1.06,2.72,1.56,2.61,1.62,1.25,2.87,1.5,2.76
Barcelona,25,25.3,67.5,18,198,1620,18.0,50,37,87,46,4,6,28,2,41.5,36.8,29.4,66.2,445,976,2.78,2.06,4.83,2.56,4.61,2.3,1.63,3.94,2.05,3.68
Betis,26,28.1,49.8,17,187,1530,17.0,28,22,50,27,1,1,34,1,26.0,25.2,21.2,46.4,308,669,1.65,1.29,2.94,1.59,2.88,1.53,1.25,2.78,1.48,2.73
Celta Vigo,25,26.7,50.5,17,187,1530,17.0,20,14,34,18,2,2,33,1,20.1,18.6,15.3,33.9,282,682,1.18,0.82,2.0,1.06,1.88,1.18,0.9,2.08,1.09,1.99
Elche,27,27.1,57.8,17,187,1530,17.0,22,17,39,22,0,1,29,3,19.9,19.1,15.0,34.1,296,659,1.29,1.0,2.29,1.29,2.29,1.17,0.88,2.06,1.13,2.01
Espanyol,22,27.9,41.2,17,187,1530,17.0,22,16,38,19,3,4,33,2,24.8,21.7,17.9,39.5,266,530,1.29,0.94,2.24,1.12,2.06,1.46,1.05,2.51,1.28,2.33
Getafe,24,29.0,42.3,17,187,1530,17.0,13,12,25,13,0,1,44,3,12.1,11.3,7.7,19.0,149,438,0.76,0.71,1.47,0.76,1.47,0.71,0.45,1.17,0.67,1.12
Girona,29,27.8,47.5,17,187,1530,17.0,15,10,25,12,3,3,38,5,18.6,16.3,13.5,29.9,324,595,0.88,0.59,1.47,0.71,1.29,1.09,0.8,1.89,0.96,1.76
Levante,26,27.1,41.9,16,176,1440,16.0,17,8,25,15,2,3,38,1,20.4,18.3,12.4,30.7,169,424,1.06,0.5,1.56,0.94,1.44,1.28,0.78,2.05,1.14,1.92
Mallorca,25,28.4,43.8,17,187,1530,17.0,19,14,33,17,2,2,37,3,17.2,15.6,12.7,28.3,217,517,1.12,0.82,1.94,1.0,1.82,1.01,0.75,1.76,0.92,1.66
Osasuna,21,28.4,44.9,17,187,1530,17.0,17,12,29,14,3,4,39,3,18.7,15.6,11.6,27.1,212,492,1.0,0.71,1.71,0.82,1.53,1.1,0.68,1.78,0.92,1.6
Oviedo,27,28.9,45.4,17,187,1530,17.0,7,3,10,6,1,2,37,7,13.8,12.3,8.8,21.1,241,506,0.41,0.18,0.59,0.35,0.53,0.81,0.52,1.33,0.72,1.24
Rayo Vallecano,24,29.4,54.2,17,187,1530,17.0,13,10,23,12,1,2,46,3,22.9,21.3,15.8,37.1,284,638,0.76,0.59,1.35,0.71,1.29,1.34,0.93,2.27,1.25,2.18
Real Madrid,25,25.8,58.3,18,198,1620,18.0,36,28,64,30,6,8,33,4,41.9,35.7,29.9,65.5,440,971,2.0,1.56,3.56,1.67,3.22,2.33,1.66,3.99,1.98,3.64
Real Sociedad,29,26.5,51.9,17,187,1530,17.0,21,13,34,18,3,3,38,0,22.6,20.3,16.9,37.2,287,670,1.24,0.76,2.0,1.06,1.82,1.33,1.0,2.32,1.19,2.19
Sevilla,31,27.7,53.7,17,187,1530,17.0,21,17,38,19,2,2,56,2,17.2,15.9,13.9,29.7,282,544,1.24,1.0,2.24,1.12,2.12,1.01,0.82,1.83,0.93,1.75
Valencia,21,27.0,49.0,17,187,1530,17.0,16,14,30,16,0,1,31,1,18.2,17.4,13.2,30.6,255,650,0.94,0.82,1.76,0.94,1.76,1.07,0.78,1.84,1.02,1.8
Villarreal,26,26.6,45.6,16,176,1440,16.0,31,21,52,30,1,1,38,2,26.5,25.8,19.5,45.3,327,604,1.94,1.31,3.25,1.87,3.19,1.66,1.22,2.88,1.61,2.83
