Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Barcelona,18,15,1,2,51,20,31,46,2.56,41.5,23.3,18.1,1.01,W W W W W,36275,Ferrán Torres - 11,Joan García,
2,Real Madrid,18,13,3,2,36,16,20,42,2.33,41.9,20.6,21.3,1.18,D W L W W,73658,Kylian Mbappé - 18,Thibaut Courtois,
3,Atlético Madrid,18,11,4,3,33,16,17,37,2.06,29.1,20.6,8.5,0.47,W L L W W,61932,Julián Álvarez - 7,Jan Oblak,
4,Villarreal,16,11,2,3,31,15,16,35,2.19,26.5,18.8,7.7,0.48,W W W W L,18209,Alberto Moleiro - 6,Luiz Lúcio Reis Júnior,
5,Espanyol,17,10,3,4,22,17,5,33,1.94,24.8,19.1,5.7,0.34,W W W W W,28743,Pere Milla - 6,Marko Dmitrović,
6,Betis,17,7,7,3,29,19,10,28,1.65,26.0,19.8,6.2,0.36,D W L D W,58350,Cucho - 7,Álvaro Vallés,
7,Celta Vigo,17,5,8,4,20,19,1,23,1.35,20.1,22.6,-2.5,-0.15,W L W W D,20252,Borja Iglesias - 5,Ionuț Radu,
8,Athletic Club,18,7,2,9,16,24,-8,23,1.28,24.2,18.5,5.7,0.32,W L W L L,48284,"Roberto Navarro, Nico Williams - 3",Unai Simón,
9,Elche,17,5,7,5,23,20,3,22,1.29,19.9,23.8,-3.9,-0.23,D L W L W,26990,Rafa Mir - 6,Iñaki Peña,
10,Sevilla,17,6,2,9,24,26,-2,20,1.18,17.2,27.4,-10.3,-0.6,L L D W L,37607,"Ruben Vargas, Akor Adams... - 3",Odysseas Vlachodimos,
11,Getafe,17,6,2,9,13,22,-9,20,1.18,12.1,17.7,-5.6,-0.33,L W L L L,8331,Borja Mayoral - 4,David Soria,
12,Osasuna,17,5,3,9,17,20,-3,18,1.06,18.7,22.6,-3.9,-0.23,L D W L W,20140,Ante Budimir - 6,Sergio Herrera,
13,Mallorca,17,4,6,7,19,24,-5,18,1.06,17.2,27.0,-9.8,-0.58,L D D W D,17378,Vedat Muriqi - 9,Leo Román,
14,Alavés,17,5,3,9,14,20,-6,18,1.06,18.0,18.8,-0.8,-0.05,L L W L L,16814,Carlos Vicente - 4,Antonio Sivera,
15,Rayo Vallecano,17,4,6,7,13,20,-7,18,1.06,22.9,22.6,0.3,0.02,D D L D L,12786,Jorge de Frutos - 4,Augusto Batalla,
16,Real Sociedad,17,4,5,8,21,25,-4,17,1.0,22.6,22.4,0.2,0.01,W L L L D,30890,Mikel Oyarzabal - 5,Álex Remiro,
17,Valencia,17,3,7,7,16,26,-10,16,0.94,18.2,22.2,-4.0,-0.23,W D D L D,44487,Hugo Duro - 6,Julen Agirrezabala,
18,Girona,17,3,6,8,15,33,-18,15,0.88,18.6,29.7,-11.1,-0.66,D D L W L,11628,"Cristhian Stuani, Viktor Tsyhankov... - 3",Paulo Gazzaniga,
19,Oviedo,17,2,5,10,7,26,-19,11,0.65,13.8,28.8,-15.0,-0.88,D L D L D,25469,Salomón Rondón - 2,Aarón Escandell,
20,Levante,16,2,4,10,17,29,-12,10,0.63,20.4,27.3,-6.9,-0.43,L L L L D,20819,Karl Etta Eyong - 5,Mathew Ryan,
