Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Angers,25,26.1,41.8,16,176,1440,16.0,16,7,23,14,2,2,22,1,16.2,14.8,11.3,26.1,257,423,1.0,0.44,1.44,0.87,1.31,1.01,0.7,1.72,0.93,1.63
Auxerre,25,25.3,44.2,16,176,1440,16.0,12,7,19,9,3,5,37,6,19.6,15.8,12.1,27.9,223,491,0.75,0.44,1.19,0.56,1.0,1.23,0.76,1.99,0.99,1.75
Brest,26,27.2,44.1,16,176,1440,16.0,20,13,33,15,5,7,28,3,24.2,18.7,14.6,33.3,173,457,1.25,0.81,2.06,0.94,1.75,1.51,0.91,2.43,1.17,2.08
Le Havre,25,27.9,45.8,16,176,1440,16.0,13,9,22,12,1,4,29,1,20.4,17.2,13.7,30.8,248,547,0.81,0.56,1.37,0.75,1.31,1.28,0.85,2.13,1.07,1.93
Lens,22,27.6,48.3,16,176,1440,16.0,27,20,47,24,3,4,30,3,30.5,27.4,21.7,49.1,231,617,1.69,1.25,2.94,1.5,2.75,1.91,1.36,3.26,1.71,3.07
Lille,28,27.4,55.9,16,176,1440,16.0,33,22,55,30,3,4,36,4,28.8,25.7,20.6,46.4,333,783,2.06,1.37,3.44,1.87,3.25,1.8,1.29,3.09,1.61,2.9
Lorient,23,25.6,43.6,16,176,1440,16.0,18,12,30,17,1,4,32,1,21.3,18.1,14.6,32.7,306,527,1.13,0.75,1.87,1.06,1.81,1.33,0.91,2.24,1.13,2.04
Lyon,25,26.9,55.5,16,176,1440,16.0,21,16,37,21,0,2,32,5,25.6,24.1,18.5,42.6,269,610,1.31,1.0,2.31,1.31,2.31,1.6,1.16,2.75,1.5,2.66
Marseille,30,28.0,59.6,16,176,1440,16.0,35,25,60,31,4,5,34,2,29.8,26.4,21.8,48.2,284,750,2.19,1.56,3.75,1.94,3.5,1.86,1.36,3.23,1.65,3.01
Metz,27,26.7,48.6,16,176,1440,16.0,16,10,26,13,3,4,24,3,17.8,14.7,12.6,27.2,248,423,1.0,0.62,1.62,0.81,1.44,1.11,0.78,1.9,0.92,1.7
Monaco,28,26.1,53.7,16,176,1440,16.0,24,18,42,20,4,5,40,4,31.1,27.1,21.2,48.3,267,704,1.5,1.13,2.62,1.25,2.37,1.94,1.32,3.26,1.69,3.02
Nantes,24,25.5,42.9,16,176,1440,16.0,14,7,21,14,0,2,27,1,12.9,11.2,7.6,18.8,218,408,0.87,0.44,1.31,0.87,1.31,0.81,0.47,1.28,0.7,1.17
Nice,27,25.5,47.7,16,176,1440,16.0,17,15,32,15,2,2,35,2,18.0,16.5,14.3,30.8,261,547,1.06,0.94,2.0,0.94,1.87,1.13,0.89,2.02,1.03,1.93
Paris FC,25,27.8,55.1,16,176,1440,16.0,21,14,35,18,3,3,33,2,21.3,19.0,15.2,34.2,272,627,1.31,0.87,2.19,1.13,2.0,1.33,0.95,2.28,1.19,2.14
Paris S-G,23,24.0,69.3,16,176,1440,16.0,35,25,60,32,3,4,19,0,29.3,26.1,22.2,48.3,402,935,2.19,1.56,3.75,2.0,3.56,1.83,1.39,3.22,1.63,3.02
Rennes,28,26.4,50.3,16,176,1440,16.0,26,20,46,24,2,2,29,4,24.3,22.7,18.7,41.4,245,600,1.62,1.25,2.87,1.5,2.75,1.52,1.17,2.69,1.42,2.59
Strasbourg,25,21.9,52.6,16,176,1440,16.0,25,19,44,23,2,2,34,4,24.6,23.1,19.2,42.3,265,661,1.56,1.19,2.75,1.44,2.62,1.54,1.2,2.74,1.44,2.64
Toulouse,22,24.7,41.2,16,176,1440,16.0,23,13,36,19,4,7,38,1,23.1,17.8,12.8,30.6,234,537,1.44,0.81,2.25,1.19,2.0,1.44,0.8,2.24,1.11,1.91
