Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Lens,16,12,1,3,28,13,15,37,2.31,30.5,22.6,7.9,0.49,W W W W W,37306,Odsonne Édouard - 7,Robin Risser,
2,Paris S-G,16,11,3,2,35,14,21,36,2.25,29.3,14.4,14.9,0.93,W W L W W,47676,"João Neves, Bradley Barcola - 5",Lucas Chevalier,
3,Marseille,16,10,2,4,36,15,21,32,2.0,29.8,17.0,12.8,0.8,W W D L W,64973,Mason Greenwood - 11,Gerónimo Rulli,
4,Lille,16,10,2,4,33,20,13,32,2.0,28.8,21.4,7.3,0.46,L W W W W,43371,"Hákon Arnar Haraldsson, Hamza Igamane - 5",Berke Özer,
5,Lyon,16,8,3,5,22,16,6,27,1.69,25.6,20.1,5.5,0.34,L D W L W,49216,Pavel Šulc - 6,Dominik Greif,
6,Rennes,16,7,6,3,27,24,3,27,1.69,24.3,25.1,-0.8,-0.05,W W W L W,27534,Esteban Lepaul - 8,Brice Samba,
7,Toulouse,16,6,5,5,24,19,5,23,1.44,23.1,19.5,3.6,0.22,D L D W W,23843,Yann Gboho - 5,Guillaume Restes,
8,Strasbourg,16,7,2,7,25,20,5,23,1.44,24.6,18.5,6.1,0.38,W L L L D,25692,Joaquín Panichelli - 9,Mike Penders,
9,Monaco,16,7,2,7,26,27,-1,23,1.44,31.1,27.5,3.6,0.22,L L W L L,9231,Ansu Fati - 5,Philipp Köhn,
10,Angers,16,6,4,6,17,18,-1,22,1.38,16.2,27.2,-11.0,-0.68,W W L W W,12214,Sidiki Cherif - 4,Hervé Koffi,
11,Brest,16,5,4,7,21,27,-6,19,1.19,24.2,23.7,0.5,0.03,L W W W L,14563,Romain Del Castillo - 6,Radosław Majecki,
12,Lorient,16,4,6,6,19,28,-9,18,1.13,21.3,21.7,-0.4,-0.02,D D W W D,15519,Pablo Pagis - 5,Yvon Mvogo,
13,Nice,16,5,2,9,19,29,-10,17,1.06,18.0,29.5,-11.4,-0.71,L L L L L,22102,Sofiane Diop - 6,Yehvann Diouf,
14,Paris FC,16,4,4,8,21,29,-8,16,1.0,21.3,26.3,-4.9,-0.31,L L D D L,17091,Ilan Kebbal - 6,Obed Nkambadio,
15,Le Havre,16,3,6,7,13,22,-9,15,0.94,20.4,22.9,-2.4,-0.15,D L L D L,18444,"Issa Soumaré, Rassoul Ndiaye - 3",Mory Diaw,
16,Auxerre,16,3,3,10,14,25,-11,12,0.75,19.6,22.1,-2.5,-0.15,L D D W L,16403,Lassine Sinayoko - 6,Donovan Léon,
17,Nantes,16,2,5,9,14,28,-14,11,0.69,12.9,27.8,-14.9,-0.93,D D L L L,29680,Youssef El-Arabi - 3,Anthony Lopes,
18,Metz,16,3,2,11,17,37,-20,11,0.69,17.8,31.7,-13.9,-0.87,W L L L L,23061,Gauthier Hein - 5,Jonathan Fischer,
