Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,24,26.4,59.1,18,198,1620,18.0,30,22,52,27,3,3,24,0,31.2,28.9,20.6,49.4,389,801,1.67,1.22,2.89,1.5,2.72,1.73,1.14,2.88,1.6,2.75
Aston Villa,23,28.4,51.3,18,198,1620,18.0,28,21,49,28,0,0,28,1,19.1,19.1,15.3,34.4,251,611,1.56,1.17,2.72,1.56,2.72,1.06,0.85,1.91,1.06,1.91
Bournemouth,24,25.8,52.4,18,198,1620,18.0,27,14,41,25,2,3,44,1,26.4,24.1,15.9,39.9,348,713,1.5,0.78,2.28,1.39,2.17,1.47,0.88,2.35,1.34,2.22
Brentford,21,25.6,45.2,18,198,1620,18.0,27,14,41,22,5,7,36,0,27.2,21.7,16.6,38.3,213,512,1.5,0.78,2.28,1.22,2.0,1.51,0.92,2.43,1.21,2.13
Brighton,25,25.7,51.6,18,198,1620,18.0,25,15,40,23,2,3,44,0,27.3,25.0,19.0,44.0,357,661,1.39,0.83,2.22,1.28,2.11,1.52,1.05,2.57,1.39,2.45
Burnley,24,27.8,41.8,18,198,1620,18.0,19,13,32,17,2,2,26,2,16.2,14.7,11.1,25.8,178,468,1.06,0.72,1.78,0.94,1.67,0.9,0.62,1.52,0.82,1.43
Chelsea,25,24.7,58.3,18,198,1620,18.0,30,23,53,29,1,1,42,4,30.3,29.5,24.5,54.0,380,738,1.67,1.28,2.94,1.61,2.89,1.68,1.36,3.04,1.64,3.0
Crystal Palace,23,26.9,43.6,18,198,1620,18.0,20,11,31,16,4,4,33,0,29.2,26.1,18.9,45.0,238,589,1.11,0.61,1.72,0.89,1.5,1.62,1.05,2.67,1.45,2.5
Everton,20,28.2,43.8,18,198,1620,18.0,17,14,31,16,1,1,37,1,20.6,19.8,15.6,35.4,262,583,0.94,0.78,1.72,0.89,1.67,1.14,0.87,2.01,1.1,1.97
Fulham,23,28.5,51.1,18,198,1620,18.0,22,15,37,21,1,1,36,0,19.9,19.1,15.0,34.1,325,681,1.22,0.83,2.06,1.17,2.0,1.11,0.83,1.94,1.06,1.9
Leeds United,23,27.0,46.9,18,198,1620,18.0,25,10,35,23,2,3,27,0,26.1,23.6,15.9,39.5,263,554,1.39,0.56,1.94,1.28,1.83,1.45,0.88,2.33,1.31,2.2
Liverpool,23,27.0,60.9,18,198,1620,18.0,29,20,49,28,1,1,33,0,28.1,27.4,22.0,49.4,408,941,1.61,1.11,2.72,1.56,2.67,1.56,1.22,2.79,1.52,2.75
Manchester City,24,25.7,58.2,18,198,1620,18.0,40,33,73,39,1,2,30,0,33.9,32.3,28.5,60.8,475,759,2.22,1.83,4.06,2.17,4.0,1.88,1.58,3.46,1.79,3.38
Manchester Utd,25,26.4,53.1,18,198,1620,18.0,30,20,50,28,2,4,28,1,32.8,29.8,21.4,51.2,349,734,1.67,1.11,2.78,1.56,2.67,1.82,1.19,3.01,1.66,2.85
Newcastle Utd,24,27.4,51.9,18,198,1620,18.0,23,13,36,20,3,3,25,2,24.3,22.0,17.8,39.8,301,821,1.28,0.72,2.0,1.11,1.83,1.35,0.99,2.34,1.22,2.21
Nott'ham Forest,27,26.2,49.9,18,198,1620,18.0,18,11,29,17,1,1,31,0,20.8,20.0,15.6,35.6,303,724,1.0,0.61,1.61,0.94,1.56,1.15,0.87,2.02,1.11,1.98
Sunderland,26,25.9,42.5,18,198,1620,18.0,18,13,31,16,2,2,36,2,15.4,13.8,10.0,23.8,231,533,1.0,0.72,1.72,0.89,1.61,0.86,0.55,1.41,0.77,1.32
Tottenham,22,25.9,51.2,18,198,1620,18.0,26,21,47,26,0,0,48,2,17.0,17.0,13.1,30.1,312,601,1.44,1.17,2.61,1.44,2.61,0.94,0.73,1.67,0.94,1.67
West Ham,28,27.0,42.3,18,198,1620,18.0,18,10,28,17,1,1,29,2,18.3,17.6,10.9,28.4,211,520,1.0,0.56,1.56,0.94,1.5,1.02,0.6,1.62,0.98,1.58
Wolves,25,26.8,45.1,18,198,1620,18.0,9,6,15,8,1,2,38,2,16.0,14.4,9.8,24.3,235,518,0.5,0.33,0.83,0.44,0.78,0.89,0.55,1.44,0.8,1.35
