Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,18,13,3,2,33,11,22,42,2.33,31.2,10.6,20.6,1.15,W L W W W,60177,Viktor Gyökeres - 5,David Raya,
2,Manchester City,18,13,1,4,43,17,26,40,2.22,33.9,19.4,14.5,0.81,W W W W W,52382,Erling Haaland - 19,Gianluigi Donnarumma,
3,Aston Villa,18,12,3,3,29,19,10,39,2.17,19.1,24.9,-5.7,-0.32,W W W W W,41687,Morgan Rogers - 7,Emiliano Martínez,
4,Liverpool,18,10,2,6,30,26,4,32,1.78,28.1,21.9,6.3,0.35,D D W W W,60368,Hugo Ekitike - 8,Alisson,
5,Chelsea,18,8,5,5,30,19,11,29,1.61,30.3,23.2,7.1,0.39,L D W D L,39628,João Pedro - 6,Robert Sánchez,
6,Manchester Utd,18,8,5,5,32,28,4,29,1.61,32.8,24.2,8.6,0.48,D W D L W,74004,Bryan Mbeumo - 6,Senne Lammens,
7,Sunderland,18,7,7,4,20,18,2,28,1.56,15.4,24.3,-8.9,-0.49,D L W D D,46047,Wilson Isidor - 4,Robin Roefs,
8,Brentford,18,8,2,8,28,26,2,26,1.44,27.2,24.5,2.7,0.15,L L D W W,17085,Thiago - 11,Caoimhín Kelleher,
9,Crystal Palace,18,7,5,6,21,20,1,26,1.44,29.2,21.9,7.3,0.4,W W L L L,25025,Jean-Philippe Mateta - 7,Dean Henderson,
10,Fulham,18,8,2,8,25,26,-1,26,1.44,19.9,23.4,-3.4,-0.19,L L W W W,27032,Harry Wilson - 5,Bernd Leno,
11,Tottenham,18,7,4,7,27,23,4,25,1.39,17.0,24.1,-7.2,-0.4,D W L L W,61001,Richarlison - 7,Guglielmo Vicario,
12,Everton,18,7,4,7,18,20,-2,25,1.39,20.6,25.3,-4.7,-0.26,W W L L D,52145,"Kiernan Dewsbury-Hall, Iliman Ndiaye - 4",Jordan Pickford,
13,Brighton,18,6,6,6,26,25,1,24,1.33,27.3,25.3,2.1,0.11,L D L D L,31445,Danny Welbeck - 7,Bart Verbruggen,
14,Newcastle Utd,18,6,5,7,23,23,0,23,1.28,24.3,19.6,4.7,0.26,D W L D L,52152,Nick Woltemade - 7,Nick Pope,
15,Bournemouth,18,5,7,6,27,33,-6,22,1.22,26.4,26.6,-0.2,-0.01,L D D D L,11133,Antoine Semenyo - 9,Đorđe Petrović,
16,Leeds United,18,5,5,8,25,32,-7,20,1.11,26.1,24.5,1.6,0.09,W D D W D,36708,Dominic Calvert-Lewin - 8,Lucas Perri,
17,Nott'ham Forest,18,5,3,10,18,28,-10,18,1.0,20.8,25.7,-4.9,-0.27,W L W L L,30472,"Morgan Gibbs-White, Callum Hudson-Odoi - 3",Matz Sels,
18,West Ham,18,3,4,11,19,36,-17,13,0.72,18.3,29.4,-11.1,-0.62,D D L L L,62455,Jarrod Bowen - 5,Alphonse Areola,
19,Burnley,18,3,3,12,19,34,-15,12,0.67,16.2,34.7,-18.5,-1.03,L L L D D,21096,Zian Flemming - 5,Martin Dúbravka,
20,Wolves,18,0,2,16,10,39,-29,2,0.11,16.0,26.8,-10.8,-0.6,L L L L L,29753,Santiago Bueno - 2,Sam Johnstone,
