Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,23,27.3,56.9,17,187,1530,17.0,20,13,33,19,1,1,26,1,23.0,22.2,16.3,38.5,370,794,1.18,0.76,1.94,1.12,1.88,1.35,0.96,2.31,1.31,2.27
Bologna,27,27.2,56.4,16,176,1440,16.0,24,15,39,21,3,4,32,2,21.9,18.8,15.1,33.9,258,609,1.5,0.94,2.44,1.31,2.25,1.37,0.94,2.31,1.17,2.12
Cagliari,25,25.5,45.2,17,187,1530,17.0,19,16,35,18,1,1,41,0,15.9,15.1,13.0,28.1,223,424,1.12,0.94,2.06,1.06,2.0,0.93,0.76,1.7,0.89,1.65
Como,24,25.8,59.5,16,176,1440,16.0,22,18,40,22,0,1,39,2,20.6,19.8,16.1,36.0,291,601,1.37,1.13,2.5,1.37,2.5,1.29,1.01,2.3,1.24,2.25
Cremonese,27,28.5,46.2,17,187,1530,17.0,18,14,32,16,2,2,36,1,16.1,14.5,12.7,27.2,186,452,1.06,0.82,1.88,0.94,1.76,0.95,0.74,1.69,0.85,1.6
Fiorentina,25,27.3,52.6,17,187,1530,17.0,16,8,24,12,4,4,41,1,24.1,21.4,13.9,35.2,262,570,0.94,0.47,1.41,0.71,1.18,1.42,0.81,2.23,1.26,2.07
Genoa,25,26.6,46.7,16,176,1440,16.0,16,11,27,15,1,3,36,2,21.3,18.9,14.9,33.8,190,441,1.0,0.69,1.69,0.94,1.62,1.33,0.93,2.26,1.18,2.11
Hellas Verona,25,26.7,40.1,16,176,1440,16.0,13,9,22,12,1,1,43,0,17.3,16.6,12.2,28.8,188,448,0.81,0.56,1.37,0.75,1.31,1.08,0.76,1.85,1.03,1.8
Inter,24,29.3,59.1,16,176,1440,16.0,33,28,61,31,2,3,24,0,28.5,26.1,23.2,49.4,298,784,2.06,1.75,3.81,1.94,3.69,1.78,1.45,3.23,1.63,3.08
Juventus,24,26.3,56.5,17,187,1530,17.0,23,16,39,21,2,2,25,1,24.7,23.1,17.5,40.6,413,747,1.35,0.94,2.29,1.24,2.18,1.45,1.03,2.48,1.36,2.39
Lazio,24,29.0,51.1,17,187,1530,17.0,17,12,29,16,1,1,32,5,17.6,16.8,13.3,30.0,226,537,1.0,0.71,1.71,0.94,1.65,1.03,0.78,1.81,0.99,1.77
Lecce,24,25.9,45.3,16,176,1440,16.0,11,8,19,11,0,1,29,0,13.5,12.8,9.1,21.9,207,481,0.69,0.5,1.19,0.69,1.19,0.84,0.57,1.41,0.8,1.37
Milan,25,27.9,51.5,16,176,1440,16.0,27,19,46,24,3,4,23,1,25.7,22.6,15.6,38.2,280,627,1.69,1.19,2.87,1.5,2.69,1.61,0.98,2.58,1.41,2.39
Napoli,25,29.3,56.3,16,176,1440,16.0,24,15,39,21,3,3,24,0,23.8,22.4,15.7,38.1,300,659,1.5,0.94,2.44,1.31,2.25,1.48,0.98,2.47,1.4,2.38
Parma,25,24.6,42.6,16,176,1440,16.0,11,5,16,9,2,2,32,3,15.5,13.9,10.1,24.0,166,386,0.69,0.31,1.0,0.56,0.87,0.97,0.63,1.6,0.87,1.5
Pisa,26,27.5,40.8,17,187,1530,17.0,11,6,17,6,5,5,32,2,18.3,14.6,12.7,27.3,225,463,0.65,0.35,1.0,0.35,0.71,1.08,0.75,1.83,0.86,1.61
Roma,23,26.9,57.6,16,176,1440,16.0,17,11,28,16,1,2,34,1,19.6,18.1,14.6,32.8,278,701,1.06,0.69,1.75,1.0,1.69,1.22,0.91,2.14,1.13,2.05
Sassuolo,25,26.7,45.7,17,187,1530,17.0,22,16,38,20,2,3,41,1,18.2,15.7,13.1,28.8,264,495,1.29,0.94,2.24,1.18,2.12,1.07,0.77,1.84,0.92,1.69
Torino,25,28.0,44.3,17,187,1530,17.0,16,9,25,13,3,5,30,0,20.5,16.5,11.7,28.2,229,537,0.94,0.53,1.47,0.76,1.29,1.2,0.69,1.89,0.97,1.66
Udinese,27,27.0,46.7,17,187,1530,17.0,18,13,31,16,2,2,32,1,18.1,16.6,11.3,28.0,269,482,1.06,0.76,1.82,0.94,1.71,1.07,0.67,1.73,0.98,1.64
