Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Inter,16,12,0,4,35,14,21,36,2.25,28.5,14.3,14.2,0.89,L W W W W,71934,Lautaro Martínez - 9,Yann Sommer,
2,Milan,16,10,5,1,27,13,14,35,2.19,25.7,17.3,8.4,0.53,W W W D W,73191,Christian Pulisic - 8,Mike Maignan,
3,Napoli,16,11,1,4,24,13,11,34,2.13,23.8,16.6,7.2,0.45,W W W L W,50716,Rasmus Højlund - 6,Vanja Milinković-Savić,
4,Juventus,17,9,5,3,23,15,8,32,1.88,24.7,15.3,9.4,0.55,W L W W W,40928,Kenan Yıldız - 6,Michele Di Gregorio,
5,Roma,16,10,0,6,17,10,7,30,1.88,19.6,19.1,0.5,0.03,W L L W L,62671,Matìas Soulé - 4,Mile Svilar,
6,Como,16,7,6,3,22,12,10,27,1.69,20.6,16.4,4.3,0.27,W W L L W,11202,Nicolás Paz - 6,Jean Butez,
7,Bologna,16,7,5,4,24,14,10,26,1.63,21.9,18.5,3.4,0.21,W L D L D,28286,Riccardo Orsolini - 6,Łukasz Skorupski,
8,Lazio,17,6,6,5,18,12,6,24,1.41,17.6,21.2,-3.7,-0.22,L D W D D,41866,"Mattia Zaccagni, Matteo Cancellieri - 3",Ivan Provedel,
9,Sassuolo,17,6,4,7,22,21,1,22,1.29,18.2,23.1,-4.9,-0.29,L W D L D,15956,"Domenico Berardi, Andrea Pinamonti - 4",Arijanet Muric,
10,Atalanta,17,5,7,5,20,19,1,22,1.29,23.0,16.7,6.3,0.37,W L W W L,22278,Gianluca Scamacca - 5,Marco Carnesecchi,
11,Udinese,17,6,4,7,18,28,-10,22,1.29,18.1,22.7,-4.6,-0.27,W L W L D,22305,Keinan Davis - 5,Maduka Okoye,
12,Cremonese,17,5,6,6,18,20,-2,21,1.24,16.1,25.6,-9.5,-0.56,W W L D L,12843,Federico Bonazzoli - 5,Emil Audero,
13,Torino,17,5,5,7,17,28,-11,20,1.18,20.5,23.2,-2.7,-0.16,L L W W L,21921,Nikola Vlašić - 5,Franco Israel,
14,Cagliari,17,4,6,7,19,24,-5,18,1.06,15.9,26.1,-10.2,-0.6,L W L D W,15941,"Sebastiano Esposito, Gennaro Borrelli - 3",Elia Caprile,
15,Parma,16,4,5,7,11,18,-7,17,1.06,15.5,20.2,-4.8,-0.3,W L W L W,18937,Mateo Pellegrino - 4,Zion Suzuki,
16,Lecce,16,4,4,8,11,22,-11,16,1.0,13.5,20.2,-6.6,-0.42,L W L W L,25770,"Lassana Coulibaly, Konan N'dri... - 2",Wladimiro Falcone,
17,Genoa,16,3,5,8,16,24,-8,14,0.88,21.3,18.7,2.6,0.16,D W W L L,31052,Leo Skiri Østigård - 3,Nicola Leali,
18,Hellas Verona,16,2,6,8,13,25,-12,12,0.75,17.3,21.1,-3.8,-0.24,L L W W L,24201,Gift Orban - 4,Lorenzo Montipò,
19,Pisa,17,1,8,8,12,24,-12,11,0.65,18.3,24.8,-6.5,-0.38,L L L D L,11454,"Stefano Moreo, M'Bala Nzola - 3",Adrian Šemper,
20,Fiorentina,17,1,6,10,17,28,-11,9,0.53,24.1,23.0,1.0,0.06,L L L W L,20329,Rolando Mandragora - 5,David de Gea,
